Brand,Model,Year,Mileage,FuelType,Transmission,EngineSize,Horsepower,Owner,Price
Hyundai,i20,2022,18198,Petrol,Automatic,1484,156,1,1323048
Hyundai,Verna,2014,29439,Petrol,Automatic,2472,368,1,1209882
Hyundai,Verna,2020,84991,Petrol,Manual,2940,307,1,1213871
Toyota,Corolla,2016,32444,Petrol,Manual,1376,174,3,769129
BMW,3 Series,2020,94547,Diesel,Manual,2924,270,2,2924974
Honda,Amaze,2022,151115,Diesel,Manual,2488,254,1,1066498
Honda,Amaze,2012,154810,Petrol,Automatic,2287,234,2,483666
Audi,A3,2018,89806,Petrol,Manual,1636,231,2,2325548
Hyundai,Verna,2013,57686,Diesel,Automatic,2687,322,1,1162681
Honda,Amaze,2014,155514,Petrol,Manual,1236,124,1,498940
Honda,City,2012,40127,Petrol,Automatic,1916,202,1,960049
Hyundai,Verna,2018,122965,Diesel,Automatic,2970,412,1,1063773
Toyota,Camry,2019,80222,Petrol,Manual,2026,238,2,930501
BMW,X1,2022,81342,Diesel,Manual,2385,295,2,2840038
Audi,Q3,2015,12961,Petrol,Automatic,1046,126,1,2748667
BMW,3 Series,2022,57372,Petrol,Manual,2154,236,3,2743052
BMW,X1,2015,65485,Diesel,Automatic,2308,291,2,2893347
Audi,Q3,2022,143313,Petrol,Automatic,2410,285,1,2639267
Audi,Q3,2021,18416,Petrol,Automatic,2693,316,1,3206479
Toyota,Fortuner,2022,164670,Diesel,Automatic,1419,135,2,875211
Toyota,Camry,2014,146700,Diesel,Manual,1245,172,1,466563
BMW,3 Series,2020,38361,Diesel,Manual,3204,275,1,3133077
Toyota,Fortuner,2020,7047,Petrol,Automatic,1039,120,1,1275721
Hyundai,Creta,2017,173892,Petrol,Automatic,1111,94,1,388656
Hyundai,Verna,2022,96154,Petrol,Manual,1957,233,2,913483
BMW,5 Series,2022,55038,Petrol,Manual,1867,161,1,2948801
BMW,5 Series,2012,69817,Petrol,Automatic,3428,512,1,2783143
Honda,Amaze,2019,170725,Petrol,Automatic,1861,207,1,766258
Hyundai,Creta,2013,104405,Diesel,Manual,2397,283,1,820815
Toyota,Corolla,2012,66135,Diesel,Automatic,2904,340,1,1223346
Toyota,Corolla,2018,85114,Diesel,Automatic,1339,155,1,1053794
Hyundai,i20,2023,132337,Petrol,Automatic,1299,180,2,939888
BMW,3 Series,2023,44139,Diesel,Automatic,2073,277,1,3355297
Hyundai,Verna,2012,143755,Diesel,Manual,3186,288,2,450101
Honda,Amaze,2016,87814,Diesel,Automatic,1790,253,1,1063858
Honda,Amaze,2020,42216,Diesel,Automatic,2638,314,1,1411672
BMW,3 Series,2021,178007,Diesel,Manual,1377,172,1,2475740
Hyundai,Verna,2014,15469,Petrol,Manual,1398,191,1,951591
Honda,Civic,2014,115497,Diesel,Automatic,3062,365,2,904247
Audi,A4,2019,132052,Petrol,Automatic,2459,240,1,2552311
Audi,Q3,2016,152167,Diesel,Automatic,2427,248,1,2348380
Honda,City,2019,179285,Petrol,Automatic,1455,214,2,555343
Hyundai,i20,2012,81988,Diesel,Manual,1911,185,1,830922
Honda,Amaze,2018,111957,Petrol,Manual,2603,261,1,1033825
Toyota,Corolla,2014,155814,Diesel,Automatic,2590,371,1,881356
BMW,3 Series,2016,141587,Petrol,Manual,2537,231,2,2262553
Hyundai,Verna,2022,15298,Diesel,Manual,2313,292,1,1573396
BMW,X1,2018,19274,Diesel,Automatic,2704,379,1,3294881
BMW,5 Series,2021,29110,Diesel,Manual,2435,364,1,3328583
Audi,A3,2015,137827,Petrol,Automatic,2020,241,3,2078867
Toyota,Fortuner,2012,72681,Petrol,Automatic,2879,412,2,873711
Hyundai,Verna,2018,148581,Petrol,Manual,1313,160,2,519827
Audi,Q3,2021,75307,Petrol,Manual,2188,289,2,2533823
Honda,Amaze,2014,111762,Diesel,Manual,3487,378,3,704936
Toyota,Corolla,2013,21212,Diesel,Automatic,1111,152,1,996581
BMW,5 Series,2013,93775,Diesel,Automatic,2223,184,2,2601130
Toyota,Camry,2019,19798,Petrol,Automatic,1858,164,1,1288220
Audi,A3,2022,95358,Petrol,Manual,2896,390,1,2755823
Toyota,Camry,2019,30386,Diesel,Automatic,1550,175,1,1351081
Honda,City,2014,115640,Petrol,Automatic,3148,277,2,911876
Honda,Civic,2014,28213,Petrol,Manual,2359,339,2,1025379
Toyota,Fortuner,2019,176976,Petrol,Manual,1100,125,1,489828
Toyota,Fortuner,2014,64471,Diesel,Manual,2772,372,2,1037624
Audi,A3,2022,137166,Petrol,Automatic,2147,288,1,2528298
BMW,5 Series,2019,87009,Diesel,Manual,2399,321,1,2970261
Audi,A4,2015,26120,Diesel,Automatic,2661,363,1,2936165
Hyundai,Creta,2021,39060,Diesel,Automatic,3451,339,1,1582577
BMW,3 Series,2018,152818,Petrol,Manual,2250,205,1,2608565
Honda,City,2018,74688,Diesel,Manual,2169,295,1,1160848
BMW,3 Series,2023,166122,Diesel,Automatic,3009,322,1,3004920
Hyundai,i20,2015,28369,Diesel,Automatic,1376,119,1,1012252
Audi,Q3,2018,47576,Diesel,Automatic,1744,210,1,2838573
Audi,A4,2012,46379,Petrol,Manual,3334,359,1,2577425
Hyundai,Creta,2014,113218,Petrol,Automatic,3101,422,3,670867
Toyota,Camry,2020,26939,Diesel,Automatic,1713,240,3,1178632
Audi,A4,2013,37480,Petrol,Manual,1528,134,2,2205660
Audi,A4,2023,171479,Diesel,Automatic,2968,293,3,2568945
Audi,A3,2021,152443,Petrol,Manual,1531,138,1,2333332
Audi,A3,2015,22000,Petrol,Automatic,2311,248,1,2873405
Toyota,Corolla,2023,112193,Petrol,Manual,2598,354,1,1288320
Toyota,Camry,2017,159373,Diesel,Manual,1900,280,3,518374
BMW,X1,2023,72082,Diesel,Manual,3380,350,2,3237939
Audi,A4,2020,79455,Diesel,Manual,3049,315,2,2816115
Hyundai,Creta,2018,179881,Diesel,Automatic,1884,240,1,784425
Hyundai,Verna,2021,126625,Diesel,Automatic,2793,225,1,1198537
Hyundai,Creta,2017,76219,Petrol,Manual,1960,221,1,934159
Hyundai,i20,2022,90046,Petrol,Automatic,3464,288,3,1034118
Hyundai,Verna,2013,26359,Petrol,Manual,3497,297,1,1053033
BMW,5 Series,2017,63394,Diesel,Manual,1143,167,3,2388029
Toyota,Fortuner,2017,30037,Petrol,Manual,1935,200,1,1166082
Audi,A3,2021,66410,Diesel,Automatic,2583,216,1,2868587
BMW,5 Series,2016,98796,Diesel,Automatic,2724,391,2,2654383
BMW,X1,2016,56936,Diesel,Manual,2235,310,2,2772632
Toyota,Camry,2013,123121,Diesel,Manual,1917,216,1,662716
Honda,City,2016,90277,Diesel,Manual,1173,138,1,867689
Toyota,Camry,2013,67032,Petrol,Automatic,1611,215,2,824050
Audi,A3,2022,18433,Diesel,Automatic,2495,319,1,3245607
Audi,A4,2016,5823,Diesel,Automatic,2784,355,2,3022022
Audi,A3,2015,106344,Petrol,Manual,2235,286,2,2188427
Honda,City,2014,85335,Diesel,Automatic,1868,225,2,845069
Honda,Amaze,2017,103905,Diesel,Automatic,2360,321,1,1008741
BMW,X1,2015,155658,Diesel,Manual,3428,283,2,2440127
Hyundai,Verna,2018,82271,Diesel,Manual,3022,320,2,936003
Audi,A3,2021,175438,Diesel,Manual,2898,408,1,2453575
Honda,Civic,2015,21416,Petrol,Manual,1337,170,1,1061414
Hyundai,Verna,2014,55306,Diesel,Manual,2696,360,1,1142074
Toyota,Camry,2014,173184,Diesel,Automatic,3218,437,1,963436
Hyundai,i20,2013,79398,Diesel,Automatic,1576,208,1,767664
BMW,X1,2018,96511,Diesel,Manual,2332,308,2,2785268
Toyota,Fortuner,2017,28129,Diesel,Manual,1194,176,1,1108161
Honda,Amaze,2015,132113,Diesel,Manual,1319,197,2,429303
BMW,X1,2019,34019,Diesel,Manual,2761,404,1,3109295
Toyota,Corolla,2015,158363,Diesel,Automatic,1994,280,1,723569
Audi,Q3,2013,47486,Petrol,Manual,2917,399,1,2670104
BMW,X1,2018,11700,Petrol,Automatic,1448,187,3,2921523
Audi,Q3,2016,162367,Petrol,Manual,3240,321,1,2281953
Audi,Q3,2017,35741,Diesel,Automatic,2070,309,2,2753666
Audi,Q3,2016,44577,Petrol,Automatic,1869,258,1,2590840
Toyota,Corolla,2019,100148,Petrol,Automatic,1459,197,2,892545
Hyundai,i20,2023,48954,Petrol,Automatic,2257,249,1,1370840
BMW,X1,2022,161705,Diesel,Automatic,2145,174,2,2665587
Hyundai,i20,2013,51573,Diesel,Manual,2918,406,1,968792
BMW,5 Series,2018,117063,Diesel,Manual,1635,196,2,2411964
BMW,3 Series,2019,77278,Petrol,Manual,2412,247,1,2889855
Audi,A3,2021,20625,Diesel,Manual,3014,450,1,3256225
Honda,Civic,2013,82225,Petrol,Automatic,2538,342,1,982736
Honda,Amaze,2021,163749,Diesel,Automatic,2135,281,2,899682
Audi,Q3,2019,78903,Diesel,Manual,2396,266,2,2661046
BMW,X1,2018,134582,Petrol,Manual,3367,443,1,2888550
BMW,5 Series,2019,154476,Diesel,Automatic,1046,149,1,2484008
BMW,X1,2022,11091,Diesel,Automatic,1822,173,2,3313627
BMW,3 Series,2014,34967,Petrol,Automatic,1861,235,1,2900900
Honda,Civic,2017,150627,Petrol,Manual,3332,355,1,815238
Hyundai,Creta,2018,38053,Diesel,Manual,2575,384,1,1272230
Toyota,Corolla,2019,72765,Diesel,Manual,2413,346,2,1053353
Honda,Amaze,2016,8229,Diesel,Automatic,1621,221,2,1189321
Toyota,Camry,2013,146397,Petrol,Manual,3183,418,2,659150
Audi,A4,2012,53059,Petrol,Automatic,1694,173,1,2559553
Audi,A4,2019,75008,Diesel,Automatic,3097,389,2,2959769
Honda,City,2021,146571,Diesel,Manual,1263,188,1,844812
BMW,5 Series,2014,106569,Diesel,Manual,3359,345,2,2576012
Audi,A4,2021,160313,Diesel,Manual,2719,354,1,2517021
BMW,X1,2013,79490,Diesel,Automatic,3340,310,2,2841279
Honda,City,2023,112779,Petrol,Automatic,2335,313,2,1234605
BMW,3 Series,2013,144000,Petrol,Automatic,2800,276,1,2560250
Honda,City,2016,91963,Petrol,Automatic,2532,275,3,864530
Honda,City,2019,179078,Diesel,Manual,1181,108,1,651550
Toyota,Fortuner,2015,117162,Petrol,Automatic,3364,406,1,981689
Hyundai,i20,2018,21545,Diesel,Automatic,2965,406,2,1421041
BMW,X1,2014,8292,Petrol,Automatic,3001,403,1,3018308
Audi,A3,2013,32493,Petrol,Automatic,1726,145,2,2445105
Audi,Q3,2023,24577,Diesel,Automatic,1008,141,1,3072225
Hyundai,i20,2015,67949,Petrol,Automatic,2985,375,2,1132809
Audi,A4,2017,117432,Diesel,Manual,1081,106,1,2287315
Hyundai,Creta,2012,28245,Diesel,Manual,2140,314,1,1058681
Audi,A4,2016,53784,Petrol,Manual,3109,269,1,2636197
Toyota,Corolla,2013,28733,Petrol,Automatic,2132,217,2,1092454
Hyundai,Verna,2016,174727,Diesel,Manual,1609,151,2,324078
Hyundai,Verna,2014,35559,Diesel,Automatic,2559,278,3,870792
BMW,X1,2015,134207,Diesel,Automatic,1996,216,3,2419135
Hyundai,Verna,2015,50467,Petrol,Automatic,2429,195,1,987140
Honda,City,2019,107957,Diesel,Manual,1430,172,2,775659
BMW,X1,2013,156155,Diesel,Automatic,3105,433,3,2344312
Audi,A3,2020,26005,Diesel,Automatic,2478,346,1,3070638
Audi,A3,2019,22772,Petrol,Manual,3257,383,1,3038325
Toyota,Camry,2015,62373,Petrol,Automatic,1457,158,1,895691
BMW,X1,2017,14502,Petrol,Automatic,1519,201,1,2951233
Audi,Q3,2014,83155,Diesel,Automatic,2837,355,2,2487696
Hyundai,i20,2014,141001,Diesel,Manual,1152,148,2,365266
Audi,A3,2014,142742,Petrol,Automatic,2400,198,2,2110130
Honda,Civic,2019,126435,Diesel,Automatic,2915,406,1,1157256
Toyota,Corolla,2012,89402,Diesel,Automatic,2110,284,1,876737
Hyundai,Verna,2016,179859,Diesel,Manual,1000,112,2,331150
Audi,Q3,2020,157418,Petrol,Automatic,3308,356,3,2286592
Audi,Q3,2012,66773,Diesel,Manual,2484,217,2,2294326
Hyundai,Creta,2020,58337,Diesel,Manual,1259,141,1,991611
BMW,3 Series,2017,151641,Petrol,Manual,1409,116,1,2411724
BMW,X1,2020,127583,Diesel,Automatic,1300,156,3,2553427
BMW,3 Series,2018,88614,Diesel,Automatic,3128,299,2,2828125
Hyundai,Creta,2012,83879,Diesel,Manual,2228,310,2,643412
Hyundai,Verna,2016,161529,Petrol,Manual,1197,150,2,394908
BMW,5 Series,2017,57727,Petrol,Manual,2120,242,1,2785412
Hyundai,Verna,2023,165365,Petrol,Manual,1782,199,1,747971
Audi,A4,2022,9950,Diesel,Automatic,1990,255,1,3301738
BMW,5 Series,2015,15119,Diesel,Automatic,1425,122,3,2767851
Hyundai,Verna,2014,128574,Diesel,Manual,3293,471,1,842520
Toyota,Camry,2017,8293,Petrol,Automatic,2212,260,1,1527388
Audi,A4,2012,13579,Diesel,Manual,1169,161,1,2604401
Hyundai,Verna,2015,15326,Petrol,Manual,2714,306,1,1128073
BMW,3 Series,2012,60202,Diesel,Manual,1590,178,2,2414415
BMW,5 Series,2014,23288,Diesel,Manual,1233,121,2,2585228
Toyota,Camry,2018,67911,Diesel,Manual,1354,123,1,1015753
BMW,5 Series,2016,15412,Diesel,Manual,3058,387,1,3095693
Hyundai,i20,2015,70434,Diesel,Automatic,1333,178,1,990212
Hyundai,Verna,2012,80700,Petrol,Manual,2162,173,1,762764
Audi,A4,2023,96512,Petrol,Automatic,1719,211,1,2719732
Audi,A3,2019,73639,Diesel,Manual,2540,295,1,2891342
Hyundai,i20,2016,46062,Petrol,Automatic,1533,129,2,921735
Toyota,Camry,2019,32773,Diesel,Manual,2580,323,1,1386408
Honda,City,2022,54591,Diesel,Manual,2433,288,1,1483907
Toyota,Corolla,2014,75228,Petrol,Manual,3494,356,2,1031302
BMW,5 Series,2023,176209,Diesel,Manual,1386,172,3,2234019
Audi,Q3,2015,112504,Diesel,Automatic,3239,391,1,2621914
Audi,A4,2017,164361,Petrol,Automatic,2079,183,1,2375299
BMW,3 Series,2018,145031,Petrol,Manual,2391,351,1,2630168
Audi,A3,2020,106330,Diesel,Manual,2982,440,1,2824752
Hyundai,i20,2019,53304,Petrol,Manual,2179,200,2,1081365
Hyundai,i20,2020,39067,Petrol,Automatic,1044,153,1,1129807
Honda,Amaze,2018,134908,Petrol,Manual,1475,206,3,495928
Audi,A4,2021,95618,Petrol,Automatic,2932,398,1,2847978
Toyota,Fortuner,2013,160921,Petrol,Automatic,1676,230,1,519130
BMW,X1,2022,105391,Diesel,Manual,1021,143,2,2531818
Audi,A3,2018,16151,Petrol,Manual,2161,202,2,2806742
Toyota,Fortuner,2015,112848,Petrol,Manual,1702,196,1,747507
BMW,X1,2016,176297,Diesel,Automatic,2581,328,2,2338947
Honda,Civic,2015,9787,Diesel,Manual,3269,450,1,1497694
Audi,A3,2020,147431,Diesel,Manual,1838,172,2,2357961
Toyota,Fortuner,2018,123861,Diesel,Manual,1393,201,1,792960
Honda,Amaze,2017,135802,Petrol,Automatic,1469,218,1,660453
Toyota,Fortuner,2021,179462,Diesel,Manual,2618,374,1,974745
Toyota,Fortuner,2020,133666,Diesel,Automatic,2891,306,3,1079714
Toyota,Fortuner,2013,144368,Petrol,Manual,1237,141,1,366246
Honda,City,2018,68105,Diesel,Manual,3115,460,1,1245967
Hyundai,Verna,2018,170006,Diesel,Automatic,2584,234,2,748782
Audi,A4,2012,73250,Petrol,Automatic,2359,253,2,2330295
Toyota,Fortuner,2021,81561,Petrol,Manual,2479,314,1,1170298
Audi,A3,2014,178858,Diesel,Manual,1496,144,1,1876173
Hyundai,Creta,2023,140612,Petrol,Automatic,1404,183,1,961689
BMW,3 Series,2013,157026,Petrol,Automatic,2195,239,2,2273636
Toyota,Corolla,2018,73690,Diesel,Manual,2848,351,2,1044956
BMW,3 Series,2016,56416,Petrol,Manual,2346,214,2,2694623
Hyundai,Creta,2012,172839,Diesel,Manual,1405,153,1,200000
Audi,A4,2020,87900,Petrol,Manual,1469,148,3,2178944
Hyundai,Verna,2017,74975,Diesel,Manual,1831,198,1,890720
Audi,A4,2021,177117,Petrol,Manual,2543,207,1,2436448
Honda,Amaze,2020,23669,Petrol,Manual,1691,164,1,1274517
BMW,X1,2021,71114,Diesel,Manual,1582,231,2,2711087
Honda,Amaze,2020,6385,Diesel,Automatic,1700,230,3,1386139
Honda,Civic,2018,147628,Diesel,Automatic,2032,235,2,887556
BMW,X1,2014,54090,Diesel,Manual,1887,164,1,2674995
BMW,5 Series,2022,40870,Petrol,Manual,1259,152,3,2741683
BMW,5 Series,2019,144270,Petrol,Manual,1386,164,2,2404190
BMW,5 Series,2015,138243,Petrol,Manual,2385,307,1,2404514
BMW,X1,2022,116207,Diesel,Automatic,1664,198,2,2715724
Audi,A3,2017,152873,Diesel,Automatic,1222,108,3,1956272
Audi,A3,2023,116376,Petrol,Manual,2098,231,1,2612825
Toyota,Camry,2012,30202,Diesel,Manual,2490,276,3,922856
Toyota,Corolla,2018,135791,Diesel,Automatic,1281,150,1,906280
Toyota,Camry,2016,109928,Diesel,Automatic,1663,152,2,743824
BMW,5 Series,2012,84482,Petrol,Manual,1901,202,3,2242041
Hyundai,Verna,2022,59815,Diesel,Manual,3158,459,1,1463838
Hyundai,i20,2023,154046,Petrol,Manual,2862,337,3,853226
BMW,5 Series,2012,44993,Petrol,Manual,1606,209,2,2368053
Honda,Civic,2014,164521,Petrol,Automatic,2867,401,2,595508
Honda,Amaze,2019,152633,Petrol,Automatic,3449,458,1,1087678
BMW,3 Series,2013,59300,Petrol,Automatic,1880,202,1,2791135
Toyota,Camry,2023,133395,Diesel,Manual,2563,268,1,1300022
Hyundai,Verna,2012,45696,Petrol,Manual,1119,112,1,768779
Hyundai,Creta,2023,177369,Diesel,Automatic,2055,254,1,883563
BMW,3 Series,2023,153197,Diesel,Manual,3394,359,2,2800562
Hyundai,i20,2023,112827,Petrol,Manual,3462,513,1,1280089
Toyota,Fortuner,2020,70988,Diesel,Automatic,2786,292,3,1282635
Audi,Q3,2023,54582,Diesel,Manual,3140,278,1,3048923
Audi,A4,2022,127646,Petrol,Automatic,1595,175,1,2615701
Honda,Civic,2023,155844,Diesel,Automatic,2404,263,2,1030016
Hyundai,Creta,2019,155351,Petrol,Automatic,2544,353,2,858065
Hyundai,Verna,2015,21488,Petrol,Manual,1784,177,2,889702
Toyota,Corolla,2022,27399,Diesel,Manual,3456,372,2,1594511
BMW,X1,2021,28428,Petrol,Automatic,2565,259,2,3243851
BMW,X1,2013,141286,Diesel,Manual,1713,144,1,2387691
Hyundai,Creta,2019,21709,Diesel,Manual,2315,253,1,1252829
Audi,A3,2012,74920,Petrol,Manual,2009,164,1,2290770
BMW,X1,2022,149758,Petrol,Manual,3473,482,1,2872930
Audi,A3,2022,87003,Diesel,Automatic,1081,116,1,2639013
BMW,3 Series,2014,90239,Petrol,Automatic,1755,256,1,2623622
Honda,City,2023,103852,Diesel,Manual,1053,108,1,956663
Toyota,Camry,2019,106759,Diesel,Automatic,2294,255,1,1299564
BMW,X1,2018,146099,Petrol,Manual,2922,374,1,2566361
Honda,Civic,2018,19908,Petrol,Automatic,3248,457,3,1267157
Toyota,Fortuner,2017,106484,Diesel,Manual,2024,171,1,895392
Toyota,Camry,2016,79873,Diesel,Manual,2882,384,1,1271869
Toyota,Fortuner,2018,109941,Diesel,Automatic,1471,190,1,996748
Hyundai,Creta,2016,164064,Diesel,Manual,1741,146,1,565543
Toyota,Fortuner,2018,155206,Diesel,Manual,3089,444,1,926661
Toyota,Camry,2014,27359,Petrol,Manual,3415,378,1,1405284
Toyota,Fortuner,2012,91650,Petrol,Automatic,1095,155,1,674240
Honda,Amaze,2015,33732,Petrol,Manual,3146,450,3,912140
Toyota,Fortuner,2019,178617,Diesel,Manual,2621,342,1,989922
Hyundai,i20,2018,87245,Petrol,Manual,2996,285,1,1138641
Audi,A3,2023,24311,Diesel,Manual,2424,193,1,3022564
BMW,5 Series,2014,62038,Petrol,Automatic,2770,288,1,2980004
Hyundai,i20,2014,116631,Petrol,Automatic,2930,424,1,1014589
Honda,Civic,2018,136016,Diesel,Automatic,1043,100,2,577935
Honda,Amaze,2020,66931,Petrol,Automatic,1624,133,2,1081479
BMW,X1,2015,88337,Petrol,Automatic,3500,348,1,2989225
Audi,A4,2018,52998,Petrol,Manual,2227,314,2,2489260
Honda,Amaze,2017,128189,Diesel,Manual,2367,191,2,710850
Honda,Amaze,2023,64469,Petrol,Manual,2199,316,1,1406728
Toyota,Camry,2018,23145,Diesel,Manual,3159,436,2,1351049
Audi,Q3,2019,144659,Diesel,Automatic,2399,228,1,2665412
Honda,City,2021,56638,Diesel,Automatic,1999,260,1,1397691
Toyota,Corolla,2019,33871,Petrol,Manual,3196,279,2,1381422
BMW,3 Series,2014,147533,Diesel,Manual,3211,400,1,2636506
Hyundai,Verna,2018,164071,Petrol,Manual,2486,301,1,802296
Hyundai,i20,2018,53060,Petrol,Manual,3410,420,1,1386915
Honda,Amaze,2022,73498,Diesel,Automatic,1214,163,1,1255275
Honda,Civic,2021,150199,Diesel,Automatic,3023,256,1,1034235
Toyota,Camry,2014,116416,Petrol,Manual,2393,272,1,688585
Honda,Amaze,2021,59027,Petrol,Manual,3113,398,1,1304249
BMW,5 Series,2014,116634,Petrol,Automatic,1552,178,1,2421765
Toyota,Camry,2019,56850,Petrol,Automatic,3216,451,1,1572474
BMW,3 Series,2012,6978,Diesel,Automatic,3240,456,2,3072856
Honda,City,2022,111933,Diesel,Manual,2347,298,2,1066051
Hyundai,Verna,2015,126401,Petrol,Manual,3152,447,1,847926
Toyota,Fortuner,2016,162177,Diesel,Automatic,2838,410,2,805733
BMW,3 Series,2019,71344,Petrol,Automatic,3198,441,1,3251308
Audi,A3,2017,28974,Diesel,Automatic,1648,149,3,2566230
Honda,Civic,2021,105687,Diesel,Automatic,2194,220,1,1242944
Hyundai,i20,2018,48607,Petrol,Automatic,1734,209,1,1057128
BMW,3 Series,2019,161304,Petrol,Automatic,1322,129,1,2361598
Toyota,Fortuner,2015,149540,Petrol,Manual,1550,232,1,545233
Audi,A4,2020,49129,Petrol,Automatic,3007,294,2,2924111
BMW,3 Series,2023,21498,Diesel,Automatic,3301,417,1,3702372
BMW,5 Series,2018,162360,Diesel,Automatic,3189,359,2,2589225
BMW,X1,2018,110116,Diesel,Manual,3223,453,2,2787039
Toyota,Camry,2015,79235,Petrol,Manual,2055,289,1,1007798
Hyundai,Creta,2015,171665,Diesel,Automatic,1660,239,1,519350
Toyota,Corolla,2022,51020,Petrol,Automatic,3100,334,1,1527940
Honda,Civic,2019,124655,Diesel,Manual,2701,358,1,1027203
Audi,A3,2017,73118,Diesel,Manual,1523,176,2,2525469
Toyota,Camry,2020,107394,Diesel,Manual,1895,212,1,1082005
BMW,3 Series,2019,142645,Petrol,Manual,3022,398,3,2472408
Hyundai,Creta,2021,107474,Petrol,Manual,2163,174,2,982435
Audi,Q3,2019,17353,Diesel,Automatic,2008,221,1,2988994
Toyota,Camry,2021,84063,Petrol,Manual,1137,114,1,1088641
Honda,Amaze,2018,32319,Diesel,Automatic,1308,128,2,1036453
BMW,5 Series,2022,159300,Diesel,Automatic,2223,182,1,2756276
BMW,3 Series,2020,62110,Petrol,Manual,2828,383,1,3120940
BMW,X1,2018,92996,Diesel,Manual,2126,293,1,2844882
Honda,Amaze,2021,69457,Petrol,Automatic,2605,312,2,1214704
BMW,3 Series,2021,166307,Petrol,Manual,3348,446,1,2691483
Audi,Q3,2016,166807,Petrol,Manual,1902,263,3,1813815
Audi,Q3,2015,66497,Petrol,Automatic,1113,146,1,2358341
Audi,A4,2022,20040,Diesel,Automatic,2360,229,1,3108763
Toyota,Fortuner,2015,93566,Diesel,Manual,1266,184,1,768863
Audi,A4,2012,18761,Diesel,Automatic,3273,316,2,2735307
Audi,Q3,2016,82007,Petrol,Automatic,2995,446,1,2635839
Audi,A4,2015,154134,Diesel,Automatic,1337,166,1,2150873
Toyota,Camry,2020,93885,Diesel,Manual,2394,272,1,1164362
BMW,X1,2017,86002,Petrol,Manual,3133,311,1,2818721
Honda,City,2020,55543,Petrol,Manual,1424,117,2,963150
Hyundai,Creta,2019,160577,Petrol,Manual,3202,462,1,990145
Toyota,Camry,2021,63851,Diesel,Manual,1761,221,1,1378897
BMW,5 Series,2018,144681,Petrol,Automatic,1754,254,1,2602295
Audi,A4,2018,83874,Diesel,Automatic,1397,175,1,2500506
Audi,A4,2020,84973,Diesel,Manual,1031,115,3,2236293
Honda,City,2015,69863,Diesel,Automatic,1933,158,1,1099765
